מספר סידורי,מספר לפי מתחרים,שם המוצר,מקט,שם המוצר מהאתר,חברה/מותג,תאריך,מחיר רגיל,מחיר ליחידה/משקל,מחיר מבצע,מחיר מבצע ליח'
1,1,מגבונים לחים מארז מותג הבית 6 יח' (רמי לוי 4),7290017197432,מגבונים בייבי ללא בי,לא ידוע,2020-04-12 07:55:47,14.90,3.7250,,
2,1,מגבוני האגיס 4 יח',7290000195537,מגבונים לחים לעור רג,האגיס,2018-11-04 10:50:24,17.80,0.2472,,
3,1,מגבוני פמפרס/טיטולים 4 יח',7290000188782,מגבונים רביעייה פרמי,האגיס,2016-11-30 11:19:45,17.90,4.4750,,
4,2,תחליב רחצה מותג הבית,7290015325806,תחליב רחצה בניחוח קק,לא ידוע,2019-09-03 15:26:42,7.90,0.0105,,
5,2,פינוק,7290100247068,מוצר לא נמצא,,,,,,
6,2,דאב,8712561594608,דאב תחליב רחצה 750 מ,דאב,2016-05-04 09:22:48,19.90,0.0265,,
7,3,ג'ל רחצה מותג הבית,7290015325790,ג'ל רחצה מועשר חוחוב,לא ידוע,2019-09-03 15:26:42,7.90,0.0105,,
8,3,ג'ל רחצה crema,7290013848383,מוצר לא נמצא,,,,,,
9,3,ג'ל רחצה palmolive,7290111936333,פלמוליב ג'ל רחצה מים,לא ידוע,2019-08-22 08:05:21,14.90,0.0000,,
10,4,אל סבון 1 ליטר מותג הבית,7290017197623,מוצר לא נמצא,,,,,,
11,4,אל סבון כיף,7290005424403,מוצר לא נמצא,,,,,,
12,4,אל סבון family,7290001865439,פמלי לקשרי 1ליטר וני,פמילי,2019-03-18 12:01:27,9.90,9.9000,,
13,5,אל סבון מארז מותג הבית,7290108272895,"סבון ידיים 3*500 מ""ל",לא ידוע,2020-04-12 07:55:48,11.50,7.6667,,
14,5,אל סבון כיף מארז,7290005423888,מוצר לא נמצא,,,,,,
15,5,אל סבון family מארז,7290012193170,פמלי א.ס - 1X3מעורב,פמילי,2019-03-18 12:01:27,12.90,0.0258,,
