מספר סידורי,מספר לפי מתחרים,שם המוצר,מקט,שם המוצר מהאתר,חברה/מותג,תאריך,מחיר רגיל,מחיר ליחידה/משקל,מחיר מבצע,מחיר מבצע ליח'
1,1,מגבונים לחים בבישום עדין טיטולים,0,,,,,,,
2,1,מגבונים לחים בניחוח עדין האגיס,0,,,,,,,
3,1,מגבונים לחים בניחוח מרענן פרש וואנס,0,,,,,,,
4,2,תחליב רחצה לבנדר נקה 7,0,,,,,,,
5,2,תחליב רחצה לבנדר ווניל פינוק,0,,,,,,,
6,2,תחליב רחצה להזנה עמוקה דאב,0,,,,,,,
7,3,ג'ל רחצה אקסטרה פרש לגבר נקה 7,0,,,,,,,
8,3,ג'ל רחצה לגבר אקטיב בלוק קרמה,0,,,,,,,
9,3,ג'ל רחצה לגבר פינוק,0,,,,,,,
10,4,אל סבון נוזלי לגוף כחול פנינה רוזנבלום,0,,,,,,,
11,4,אל סבון נוזלי כיף,0,,,,,,,
12,4,אל סבון נוזלי לבנדר פמילי,0,,,,,,,
13,5,אל סבון נוזלי פנינה רוזנבלום,0,,,,,,,
14,5,אל סבון נוזלי בצבעים שונים כיף,0,,,,,,,
15,5,אל סבון נוזלי מעורב פמילי,0,,,,,,,
16,6,ג'ל גילוח נגד חתכים אדג',0,,,,,,,
17,6,סירי ג'ל גילוח לריכוך ושיקום העור ג'ילט,0,,,,,,,
18,6,מן ג'ל גילוח לעור רגיל קרמה,0,,,,,,,
19,7,גבינה צהובה 22% גלבוע,0,,,,,,,
20,7,גבינה צהובה קלאסית דקה דקה 28% נעם,0,,,,,,,
21,7,גבינה צהובה קלאסית 28% עמק 200,0,,,,,,,
22,8,גבינה צהובה קלאסית 28% עמק לפי משקל,0,,,,,,,
23,8,גבינה צהובה קלאסית 28% נעם לפי משקל,0,,,,,,,
24,8,גבינה צהובה 22% גלבוע לפי משקל,0,,,,,,,
25,9,נקניקיות עוף זוגלובק,0,,,,,,,
26,9,נקניקיות עוף טירת צבי,0,,,,,,,
27,10,נקניקיות מרגז בלדי,0,,,,,,,
28,10,נקניקיות מרגז מעדני הטלה,0,,,,,,,
29,10,נקניקיות מרגז קפואות טיבון ויל,0,,,,,,,
30,11,לחמניות רגילות ברמן,0,,,,,,,
31,11,לחמניות אנג'ל6,0,,,,,,,
32,12,תירוש ענבים אדום טבעי אפרת,0,,,,,,,
33,12,תירוש כרמל אדום 100% ענבים יקבי כרמל,0,,,,,,,
34,13,קפה נמס עלית,0,,,,,,,
35,14,קפה טורקי קפה עלית 100,0,,,,,,,
36,15,תה ירוק קלאסי פומפדור,0,,,,,,,
37,15,תה ירוק נענע ויסוצקי,0,,,,,,,
38,15,תה ירוק לואיזה ולימונית ליפטון,0,,,,,,,
39,16,שוקולית אבקת שוקו עלית 500,0,,,,,,,
40,17,פיצת השף מאיטליה 100% גבינה אמיתית שגב,0,,,,,,,
41,17,פיצה דקה מעדנות,0,,,,,,,
42,18,הסדרה הקלאסית שניצל תירס ללא גלוטן טבעול,0,,,,,,,
43,18,שניצל תירס זוגלובק,0,,,,,,,
44,19,"קמח חיטה לבן בד""ץ טחנת קמח דגן",0,,,,,,,
45,19,קמח חיטה לבן מנופה סוגת,0,,,,,,,
46,20,קמח תופח סוגת,0,,,,,,,
47,20,קמח תופח אסם 1,0,,,,,,,
48,21,שמן קנולה מזוכך ברוליו,0,,,,,,,
49,21,שמן קנולה מזוכך עץ הזית,0,,,,,,,
50,21,שמן קנולה מזוכך 6% מילומור,0,,,,,,,
51,22,שמן זית כתית מעולה,0,,,,,,,
52,22,שמן זית כתית מעולה עץ הזית,0,,,,,,,
53,22,שמן זית כתית מעולה קלאסי יד מרדכי,0,,,,,,,
54,23,פתיתים אפויים אורז אסם,0,,,,,,,
55,23,פתיתים אפויים בצורת אורז סוגת,0,,,,,,,
56,24,אורז בסמטי מאסטר שף,0,,,,,,,
57,24,אורז בסמטי קלאסי סוגת,0,,,,,,,
58,24,אורז בסמטי דאווט וילי פוד,0,,,,,,,
59,25,שקדי מרק אסם,0,,,,,,,
60,25,שקדי מרק מנה,0,,,,,,,
61,26,טחינה משומשום טבעי אחוה 500,0,,,,,,,
62,26,טחינה משומשום מלא פי 6 סידן בארכה,0,,,,,,,
63,26,טחינה מסורתית משומשום אתיופי טחינה ירושלים,0,,,,,,,
64,27,מיונז אמיתי תלמה 500,0,,,,,,,
65,27,מיונז הולנדי מאסטר שף,0,,,,,,,
66,27,מיונז אמיתי הלמנס 394,0,,,,,,,
67,28,דבש טהור מפרחי בר יד מרדכי 350,0,,,,,,,
68,29,טאצ' מגבות נייר למטבח שניב,0,,,,,,,
69,30,מגבת נייר רב שימושית ניקול,0,,,,,,,
70,30,מגבות הפלא סנו סושי 6,0,,,,,,,
71,31,נוזל כלים תפוח סוד 650,0,,,,,,,
72,31,נוזל כלים אורגינל פיירי 650,0,,,,,,,
73,31,נוזל לניקוי כלים קלאסי פלמוליב,0,,,,,,,
74,32,אקונומיקה ריחנית מבושמת סנט מוריץ,0,,,,,,,
75,32,אקונומיקה פיסגה ריחנית סנו,0,,,,,,,
76,33,אבקת כביסה בניחוח שושן צחור אריאל - 66 כביסות,0,,,,,,,
77,33,אבקת כביסה 101 כתמים קולון- 50 כביסות,0,,,,,,,
78,33,מקסימה אבקת כביסה בניחוח מאסק סנו - 70 כביסות,0,,,,,,,
79,34,מרכך כביסה ורוד סוד,0,,,,,,,
80,34,מרכך כביסה כחול בדין,0,,,,,,,
81,34,מקסימה מרכך כביסה ארומתראפי מאסק סנו,0,,,,,,,
82,35,נייר טואלט פסטל לילי,0,,,,,,,
83,35,נייר טואלט לבבות מולט 32,0,,,,,,,
84,35,נייר טואלט סילק לבן סנו סופט 32,0,,,,,,,
85,36,טאצ' נייר טואלט שניב 48,0,,,,,,,
86,36,נייר טואלט לב מולט 48,0,,,,,,,
87,37,קורנפלקס של אלופים מתכון חדש תלמה,0,,,,,,,
88,37,קורנפלקס קלוגס,0,,,,,,,
89,38,שוקולד מריר מתכון חדש פרווה ורד הגליל,0,,,,,,,
90,38,שוקולד מריר פרווה עלית X5,0,,,,,,,
91,38,שוקולד מריר 48% צ'וקטה,0,,,,,,,
92,39,פופקורן למיקרוגל בטעם חמאה פופסטאר,0,,,,,,,
93,39,פופקורן למיקרוגל בטעם חמאה הוט פופ,0,,,,,,,
94,40,ביסקוויט פתי בר אסם,0,,,,,,,
95,40,ביסקוויט פתי בר בטעם חמאה עלית,0,,,,,,,
96,41,תחבושות אולטרה נורמל פלוס עם כנפיים אולווייז,0,,,,,,,
97,41,תחבושות נורמל פלוס עם כנפיים קוטקס,0,,,,,,,
98,41,תחבושות נטורל סופר עם כנפיים לילי,0,,,,,,,
99,42,רוטב עגבניות 22% יכין 100,0,,,,,,,
100,42,רוטב עגבניות 22% פריניר 100,0,,,,,,,
101,43,טונה בהירה בשמן צמחי וילי פוד 4X160,0,,,,,,,
102,43,נתחי טונה בהירה בשמן ויליגר 4X160,0,,,,,,,
103,43,נתחי טונה בהירה בשמן סטארקיסט 4X160,0,,,,,,,
104,44,בורקס גבינה זוגלובק,0,,,,,,,
105,44,בורקס במילוי גבינה מעדנות,0,,,,,,,
106,44,בורקס גבינה שלושת האופים,0,,,,,,,
107,45,בורקס תפוח אדמה זוגלובק,0,,,,,,,
108,45,בורקס במילוי תפוחי אדמה מעדנות,0,,,,,,,
109,45,בורקס תפוחי אדמה שלושת האופים,0,,,,,,,
110,46,שניצל עוף דקיק קריספי עוף טוב,0,,,,,,,
111,46,שניצל עוף אמיתי מאמא עוף,0,,,,,,,
112,47,שניצלונים מחזה עוף מיני מיני דק בציפוי שומשום מאמא עוף,0,,,,,,,
113,47,שניצלונים עוף טוב,0,,,,,,,
114,48,משחת שיניים קולגייט,0,,,,,,,
115,48,משחת שיניים בטעם מנטה עדין אקוהפרש,0,,,,,,,
116,48,משחת שיניים לשימוש יומיומי מרידול,0,,,,,,,
117,49,משחת שיניים לילדים בטעם מסטיק אורביטול,0,,,,,,,
118,49,משחת שיניים לילדים גילאים 2-6 אלמקס,0,,,,,,,
119,49,משחת שיניים לילדים טום וג'רי,0,,,,,,,
120,50,מגן תחתון יאנג קוטקס,0,,,,,,,
121,50,מגן תחתון נטורל נורמל לילי,0,,,,,,,
122,50,מגן תחתון לארג' אולווייז,0,,,,,,,
123,51,מי פה טוטל ירוק בטעם מנטה קולגייט,0,,,,,,,
124,51,שטיפת פה בטעם מנטה מרענן ליסטרין,0,,,,,,,
125,52,מחית סלט פירות שלב 3 בילאבד,0,,,,,,,
126,52,מחית תפוחי עץ שלב 3 מטרנה,0,,,,,,,
127,52,מחית לפתן פירות שלב 3 פרינוק,0,,,,,,,
128,53,תחליף חלב אדבנס פלוס שלב 1 סימילאק,0,,,,,,,
129,53,תחליף חלב שלב 1 נוטרילון,0,,,,,,,
130,53,תחליף חלב אקסטרה קר שלב 2 מטרנה,0,,,,,,,
131,54,ממרח חמאה ללא מלח יורו 250,0,,,,,,,
132,54,ממרח חמאה רכה 75% מופחת שומן אל & ויר,0,,,,,,,
133,54,ממרח חמאה עם מלח לורפק 250,0,,,,,,,
134,55,מרגרינה ללא מלח בלובנד,0,,,,,,,
135,55,מרגרינה ללא מלח וילי פוד,0,,,,,,,
136,55,מרגרינה לאפיה בטעם טבעי ללא מלח מזולה,0,,,,,,,
137,56,שמנת עמידה לבישול 15% השף הלבן 250,0,,,,,,,
138,56,שמנת לבישול 15% יטבתה 250,0,,,,,,,
139,57,שמנת מתוקה עמידה להקצפה 38% יטבתה,0,,,,,,,
140,57,שמנת מתוקה עמידה לקצפת 38% טרה,0,,,,,,,
141,57,שמנת מתוקה עמידה להקצפה 38% השף הלבן 250,0,,,,,,,
142,58,מים מינרלים מי עדן (1.5x6 ליטר),0,,,,,,,
143,58,מים מינרליים נביעות (1.5x6 ליטר),0,,,,,,,
144,58,מים מסוננים מינרלים אקווה נובה (2x6 ליטר),0,,,,,,,
145,59,חומוס צבר 1,0,,,,,,,
146,59,חומוס אחלה 1,0,,,,,,,
147,60,סלט כרוב אדום צבר,0,,,,,,,
148,60,כרוב אדום במיונז אחלה (500 גרם),0,,,,,,,
149,61,מטבוחה אחלה,0,,,,,,,
150,61,מטבוחה מרוקאית רפי כהן צבר,0,,,,,,,
151,62,מלווח ציפור השרון,0,,,,,,,
152,62,מלווח מעדנות,0,,,,,,,
153,62,מלאווח תימני מקורי שלושת האופים,0,,,,,,,
154,63,צבע שיער בגוון חום כהה מאוד מספר 3 קולור נטורלס גרנייה,0,,,,,,,
155,64,דאודורנט ספריי גו פרש אגס דאב,0,,,,,,,
156,64,דאודורנט ספריי אינביזיבל גרנייה,0,,,,,,,
157,64,דאודורנט ספריי מאסק קרמה,0,,,,,,,
158,65,דאודורנט ג'ל פאוור ספורט לגבר ספיד סטיק,0,,,,,,,
159,65,דאודורנט קליר ג'ל ספורט פרו ג'ילט,0,,,,,,,
160,66,בורגר עטרה,0,,,,,,,
161,66,100% המבורגר קפוא טיבון ויל,0,,,,,,,
162,66,המבורגר קפוא בלדי,0,,,,,,,
