מספר סידורי,מספר לפי מתחרים,שם המוצר,מקט,שם המוצר מהאתר,חברה/מותג,תאריך,מחיר רגיל,מחיר ליחידה/משקל,מחיר מבצע,מחיר מבצע ליח'
1,1,מגבונים לחים מארז מותג הבית 6 יח' (רמי לוי 4),7.29002E+12,,,,,,,
2,1,מגבוני האגיס 4 יח',7.29E+12,,,,,,,
3,1,מגבוני פמפרס/טיטולים 4 יח',7.29E+12,,,,,,,
4,2,תחליב רחצה מותג הבית,7.29002E+12,,,,,,,
5,2,פינוק,7.2901E+12,,,,,,,
6,2,דאב,8.71256E+12,,,,,,,
7,3,ג'ל רחצה מותג הבית,7.29002E+12,,,,,,,
8,3,ג'ל רחצה crema,7.29001E+12,,,,,,,
9,3,ג'ל רחצה palmolive,7.29011E+12,,,,,,,
10,4,אל סבון 1 ליטר מותג הבית,7.29002E+12,,,,,,,
11,4,אל סבון כיף,7.29001E+12,,,,,,,
12,4,אל סבון family,7.29E+12,,,,,,,
13,5,אל סבון מארז מותג הבית,7.29011E+12,,,,,,,
14,5,אל סבון כיף מארז,7.29001E+12,,,,,,,
15,5,אל סבון family מארז,7.29001E+12,,,,,,,
16,6,ג'ל גילוח מותג הבית,7.29E+12,,,,,,,
17,6,ג'ל גילוח ג'ילט,3.01426E+12,,,,,,,
18,6,ג'ל גילוח crema,7.29001E+12,,,,,,,
19,7,גבינה צהובה פרוסות 200 ג' מותג הבית,7.29E+12,,,,,,,
20,7,נעם 200 ג',7.2901E+12,,,,,,,
21,7,עמק 200 ג',7.29E+12,,,,,,,
22,8,"נקניקיות 1 ק""ג מותג הבית",7.29001E+12,,,,,,,
23,8,זוגלובק,7.29E+12,,,,,,,
24,8,טירת צבי,7.29E+12,,,,,,,
25,9,נקניקיות מרגז 400 ג' מותג הבית,7.29E+12,,,,,,,
26,9,זוגלובק,7.29001E+12,,,,,,,
27,10, (רמי לוי 10) 6 לחמניות מותג הבית,7.29002E+12,,,,,,,
28,10,אנג'ל,7.29E+12,,,,,,,
29,11,תירוש 1 ל' מותג הבית,7.29002E+12,,,,,,,
30,11,תירוש כרמל,7.29E+12,,,,,,,
31,11,יין מתוק לקידוש סגל,7.29E+12,,,,,,,
32,12,קפה נמס מותג הבית,7.29001E+12,,,,,,,
33,12,קפה נמס עלית,7.29E+12,,,,,,,
34,13,קפה טורקי מותג הבית,7.29001E+12,,,,,,,
35,13,קפה טורקי עלית,7.29011E+12,,,,,,,
36,14,תה ירוק 25 יח' מותג הבית,54881003971,,,,,,,
37,14,ויסוצקי,7.29001E+12,,,,,,,
38,14,ליפטון 20 יח',8.69064E+12,,,,,,,
39,15,אבקת שוקו 500 ג' מותג הבית,7.29001E+12,,,,,,,
40,15,שוקולית עלית,7.29E+12,,,,,,,
41,16,פיצה קפואה מותג הבית,7.29E+12,,,,,,,
42,16,פיצה מעדנות,7.29001E+12,,,,,,,
43,17,שניצל תירס 750 גרם מותג הבית,7.29002E+12,,,,,,,
44,17,שניצל תירס טבעול,7.29E+12,,,,,,,
45,17,שניצל תירס זוגלובק,7.29001E+12,,,,,,,
46,18,קמח תופח מותג הבית,7.29002E+12,,,,,,,
47,18,קמח תופח סוגת,7.2901E+12,,,,,,,
48,18,קמח תופח אסם,7.29E+12,,,,,,,
49,19,שמן קנולה 1 ל' מותג הבית,7.29002E+12,,,,,,,
50,19,שמן קנולה עץ הזית,7.29E+12,,,,,,,
51,19,שמן קנולה בורחס/ מילומור,7.29E+12,,,,,,,
52,20,שמן זית 750 מ' מותג הבית,7.29002E+12,,,,,,,
53,20,שמן זית עץ הזית,7.29002E+12,,,,,,,
54,20,שמן זית יד מרדכי,7.29001E+12,,,,,,,
55,21,פתיתים מותג הבית,7.29002E+12,,,,,,,
56,21,פתיתים אסם,7.29E+12,,,,,,,
57,21,פתיתים סוגת,7.2901E+12,,,,,,,
58,22,אורז 1 קילו מותג הבית,7.29002E+12,,,,,,,
59,22,אורז פרסי קלאסי סוגת,7.29E+12,,,,,,,
60,22,אורז ויליפוד,8.90154E+12,,,,,,,
61,23,שקדי מרק 400 גרם מותג הבית,7.29002E+12,,,,,,,
62,23,שקדי מרק מנה,7.29E+12,,,,,,,
63,23,שקדי מרק אסם,7.29E+12,,,,,,,
64,24,טחינה גולמית מותג הבית,7.29001E+12,,,,,,,
65,24,טחינה גולמית בארכה,7.29E+12,,,,,,,
66,24,טחינה ירושלים,7.29001E+12,,,,,,,
67,25,"מיונז 500 ג'/ 1 ק""ג מותג הבית",7.29002E+12,,,,,,,
68,25,מיונז תלמה,7.29E+12,,,,,,,
69,25,מיונז הלמנס,7.2901E+12,,,,,,,
70,26,"דבש 350 ג'/ 1 ק""ג מותג הבית",7.29002E+12,,,,,,,
71,26,דבש יד מרדכי,7.29E+12,,,,,,,
72,26,דבש עמק חפר,7.29E+12,,,,,,,
73,27,מגבות נייר 6 יח' מותג הבית,7.29002E+12,,,,,,,
74,27,מגבות נייר ניקול,7.29E+12,,,,,,,
75,27,מגבות נייר סנו,7.29001E+12,,,,,,,
76,28,נוזל לניקוי כלים 750 מל מותג הבית,7.29001E+12,,,,,,,
77,28,נוזל כלים פיירי,4.0845E+12,,,,,,,
78,28,נוזל כלים פלמוליב,7.29E+12,,,,,,,
79,29,אקונומיקה 4 ל' מותג הבית,7.29002E+12,,,,,,,
80,29,אקונומיקה סנט מוריץ,7.29E+12,,,,,,,
81,29,אקונומיקה פסגה סנו,7.29E+12,,,,,,,
82,30,אבקת כביסה 2.5 קילו מותג הבית,7.29002E+12,,,,,,,
83,30,אקת כביסה קולון/ סוד,7.29E+12,,,,,,,
84,30,אבקת כביסה סנו,7.29001E+12,,,,,,,
85,31,מרכך כביסה 4 ל' מותג הבית,7.29002E+12,,,,,,,
86,31,מרכך כביסה בדין,7.29E+12,,,,,,,
87,31,מרכך כביסה סנו,7.29001E+12,,,,,,,
88,32,נייר טואלט 32 גלילים מותג הבית,7.29002E+12,,,,,,,
89,32,נייר טואלט 32 גל' מולאט,7.29E+12,,,,,,,
90,32,נייר טואלט 32 גל' סנו,7.29E+12,,,,,,,
91,33,נייר טואלט 48 גלילים מותג הבית,7.29002E+12,,,,,,,
92,33,נייר טואלט 48 גל' מולאט,7.29E+12,,,,,,,
93,33,נייר טואלט 48 גל' סנו,7.29001E+12,,,,,,,
94,34,קורנפלקס מותג הבית,7.29002E+12,,,,,,,
95,34,קרונפלקס תלמה,7.29011E+12,,,,,,,
96,34,קרונפלקס קלוגס,7.29E+12,,,,,,,
97,35,שוקולד מריר מארז 3/ 5 יח' מותג הבית,7.29002E+12,,,,,,,
98,35,שוקולד פרה מריר עלית,7.2901E+12,,,,,,,
99,35,שורולד מריר ורד הגליל מארז 5 יח',7.29011E+12,,,,,,,
100,36,פופקורן למיקרו מותג הבית,7.29011E+12,,,,,,,
101,36,פופקורן פופ-סטאר,7.29E+12,,,,,,,
102,36,פופקורן הוט-פופ,5.70193E+12,,,,,,,
103,37,וופלים 500 ג' מותג הבית,7.29002E+12,,,,,,,
104,37,וופלים עלית,7.29E+12,,,,,,,
105,38,פתי בר 500 ג' מותג הבית,7.29002E+12,,,,,,,
106,38,פתי בר אסם,7.29E+12,,,,,,,
107,38,פתי בר עלית,7.29E+12,,,,,,,
