מספר סידורי,מספר לפי מתחרים,שם המוצר,מקט,שם המוצר מהאתר,חברה/מותג,תאריך,מחיר רגיל,מחיר ליחידה/משקל,מחיר מבצע,מחיר מבצע ליח'
1,1,מגבונים לחים מארז 6 יח',7296073277255,מגבונים לחים מארז,,15/01/2020,18.90,"0.04 ש""ח ל- 1 יחידה",,
2,1,מגבוני האגיס 4 יח',195773,מגבוני האגיס אלוורה,,15/01/2020,12.90,"0.05 ש""ח ל- 1 יחידה",,
3,1,מגבוני פמפרס פרש 4 יח',8001841077949,מגבוני פמפרס פרש מארז,,15/01/2020,16.90,"0.08 ש""ח ל- 1 יחידה",,
4,2,משחת שיניים דנטיקס,7296073345299,משחת שיניים להלבנה,,15/01/2020,7.9,"7.9 ש""ח ל- 100 מ""ל",,
5,2,קולגייט,2730675,משחת קולגייט אדום,,15/01/2020,9.9,"9.9 ש""ח ל- 100 מ""ל",,
6,2,מרידול,7290107978637,משחת מרידול,,15/01/2020,15.9,"21.2 ש""ח ל- 100 מ""ל",,
7,3,משחת שיניים לילדים,7296073345336,משחת שיניים לילדים 2-6,,15/01/2020,8.9,"17.8 ש""ח ל- 100 מ""ל",,
8,3,קולגייט לילדים,6712981,קולגייט סמיילס 6+,,15/01/2020,10,"20 ש""ח ל- 100 מ""ל",,
9,3,אורל-בי לילדים,3014260278465,משחת שיניים לילדים 2-6ש,,15/01/2020,12.9,"17.2 ש""ח ל- 100 מ""ל",,
10,4,חוט דנטלי,7296073345473,חוט דנטלי שעווה,,15/01/2020,7.5,"0.15 ש""ח ל- 1 מטר",,
11,4,חוט דנטלי אורל-בי,5010622005012,חוט אורל בי ללא שעווה,,15/01/2020,19.4,"0.39 ש""ח ל- 1 מטר",,
12,5,מברשת שיניים חשמלית,7296073345404,מברשת שיניים חשמלית,,15/01/2020,34.9,"34.9 ש""ח ל- 1 יחידה",,
13,5,מברשת שיניים חשמלית אורל בי,4210201043546,מברשת חשמלית נטענת-מבוגר,,15/01/2020,69.9,"69.9 ש""ח ל- 1 יחידה",,
14,5,מברשת שיניים חשמלית פוג'יקום,7290015176378,מברשת חשמלית סגול,,15/01/2020,39.9,"39.9 ש""ח ל- 1 יחידה",,
15,6,תחבושות,7296073140993,תחבושות נורמל פלוס,,15/01/2020,12.5,"0.45 ש""ח ל- 1 יחידה",,
16,6,תחבושות קוטקס,5029053510811,תחבושות קוטקס כנפיים,,15/01/2020,9.9,"0.33 ש""ח ל- 1 יחידה",,
17,6,לילי,193205,תחבושות לילי ללילה,,15/01/2020,16,"0.8 ש""ח ל- 1 יחידה",,
18,7,מגן תחתון,7296073140979,מגני תחתון נורמל שופרסל,,15/01/2020,12.9,"0.22 ש""ח ל- 1 יחידה",,
19,7,מגן תחתון קוטקס,189758,מגן תחתון קוטקס דיזייןN+,,15/01/2020,9.9,"0.2 ש""ח ל- 1 יחידה",,
20,7,אולוויז,4015400564454,מגן תח.אולוייז מגה פק L,,15/01/2020,12.9,"0.19 ש""ח ל- 1 יחידה",,
21,8,תחליב רחצה,7296073344667,תחליב רחצה מאסק,,15/01/2020,8.9,"1.19 ש""ח ל- 100 מ""ל",,
22,8,פינוק,7290100247051,תחליב רחצה פינוק קלאסי,,15/01/2020,10,"1.43 ש""ח ל- 100 מ""ל",,
23,8,דאב,8712561594608,תחליב רחצה להזנה עמוקה,,15/01/2020,19.9,"2.65 ש""ח ל- 100 מ""ל",,
24,9,ג'ל רחצה,7296073344629,ג'ל רחצה בריזה,,15/01/2020,8.9,"1.19 ש""ח ל- 100 מ""ל",,
25,9,ג'ל רחצה crema,7290012117428,קרמה ג'ל רחצה ושמפו לגבר,,15/01/2020,9.9,"1.41 ש""ח ל- 100 מ""ל",,
26,9,ג'ל רחצה palmolive,7290111937057,ג'ל רחצה מיסלרי פשתן,,15/01/2020,9.9,"1.98 ש""ח ל- 100 מ""ל",,
27,10,אל סבון סילקי 1 ליטר,7296073255710,אל סבון  קמומיל שופרסל,,15/01/2020,9.9,"0.99 ש""ח ל- 100 מ""ל",,
28,10,אל סבון כיף,5424403,אל סבון כיף אצות ים,,15/01/2020,10,"1 ש""ח ל- 100 מ""ל",,
29,10,אל סבון family,7290016319293,אל סבון פמלי רוח ים,,15/01/2020,10,"1 ש""ח ל- 100 מ""ל",,
30,11,אל סבון סילקי מארז,7296073254294,אל סבון סגול שופרסל,,15/01/2020,7.9,"0.53 ש""ח ל- 100 מ""ל",,
31,11,אל סבון כיף מארז,5423888,אל סבון כיף סגול,,15/01/2020,16.9,"1.13 ש""ח ל- 100 מ""ל",,
32,11,אל סבון family מארז,7290011223786,סבון פמילי מעורב,,15/01/2020,13.9,"0.93 ש""ח ל- 100 מ""ל",,
