???? ??????,???? ??? ??????,?? ?????,???,?? ????? ?????,????/????,?????,???? ????,???? ??????/????,???? ????,???? ???? ???'
1,1,??????? ???? ???? 6 ??',7296073277255,,,,,,,
2,1,?????? ????? 4 ??',195773,,,,,,,
3,1,?????? ????? ??? 4 ??',8001841077949,,,,,,,
4,2,???? ?????? ??????,7296073345299,,,,,,,
5,2,???????,2730675,,,,,,,
6,2,??????,7290107978637,,,,,,,
7,3,???? ?????? ??????,7296073345336,,,,,,,
8,3,??????? ??????,6712981,,,,,,,
9,3,????-?? ??????,3014260278465,,,,,,,
10,4,??? ?????,7296073345473,,,,,,,
11,4,??? ????? ????-??,5010622005012,,,,,,,
13,5,????? ?????? ??????,7296073345404,,,,,,,
14,5,????? ?????? ?????? ???? ??,4210201043546,,,,,,,
15,5,????? ?????? ?????? ???'????,7290015176378,,,,,,,
16,6,???????,7296073140993,,,,,,,
17,6,??????? ?????,5029053510811,,,,,,,
18,6,????,193205,,,,,,,
19,7,??? ?????,7296073140979,,,,,,,
20,7,??? ????? ?????,189758,,,,,,,
21,7,???????,4015400564454,,,,,,,
22,8,????? ????,7296073344667,,,,,,,
23,8,?????,7290100247051,,,,,,,
24,8,???,8712561594608,,,,,,,
25,9,?'? ????,7296073344629,,,,,,,
26,9,?'? ???? crema,7290012117428,,,,,,,
27,9,?'? ???? palmolive,7290111937057,,,,,,,
28,10,?? ???? ????? 1 ????,7296073255710,,,,,,,
29,10,?? ???? ???,5424403,,,,,,,
30,10,?? ???? family,7290016319293,,,,,,,
31,11,?? ???? ????? ????,7296073254294,,,,,,,
32,11,?? ???? ??? ????,5423888,,,,,,,
33,11,?? ???? family ????,7290011223786,,,,,,,
34,12,?? ??,7296073292104,,,,,,,
35,12,?? ?? ???????,4078225,,,,,,,
36,12,?? ?? ???????,8116565,,,,,,,
37,13,?'? ?????,7296073323198,,,,,,,
38,13,?'? ????? ?'???,7702018405145,,,,,,,
39,13,?'? ????? crema,7290011765088,,,,,,,
40,14,???? - ???? ????? ??,7296073266990,,,,,,,
41,14,????,7613036878135,,,,,,,
42,14,??????,7290010065295,,,,,,,
